train_lr,train_class_error,train_loss,train_loss_ce,train_loss_bbox,train_loss_giou,train_loss_ce_0,train_loss_bbox_0,train_loss_giou_0,train_loss_ce_1,train_loss_bbox_1,train_loss_giou_1,train_loss_ce_enc,train_loss_bbox_enc,train_loss_giou_enc,train_loss_ce_unscaled,train_class_error_unscaled,train_loss_bbox_unscaled,train_loss_giou_unscaled,train_cardinality_error_unscaled,train_loss_ce_0_unscaled,train_loss_bbox_0_unscaled,train_loss_giou_0_unscaled,train_cardinality_error_0_unscaled,train_loss_ce_1_unscaled,train_loss_bbox_1_unscaled,train_loss_giou_1_unscaled,train_cardinality_error_1_unscaled,train_loss_ce_enc_unscaled,train_loss_bbox_enc_unscaled,train_loss_giou_enc_unscaled,train_cardinality_error_enc_unscaled,test_class_error,test_loss,test_loss_ce,test_loss_bbox,test_loss_giou,test_loss_ce_0,test_loss_bbox_0,test_loss_giou_0,test_loss_ce_1,test_loss_bbox_1,test_loss_giou_1,test_loss_ce_enc,test_loss_bbox_enc,test_loss_giou_enc,test_loss_ce_unscaled,test_class_error_unscaled,test_loss_bbox_unscaled,test_loss_giou_unscaled,test_cardinality_error_unscaled,test_loss_ce_0_unscaled,test_loss_bbox_0_unscaled,test_loss_giou_0_unscaled,test_cardinality_error_0_unscaled,test_loss_ce_1_unscaled,test_loss_bbox_1_unscaled,test_loss_giou_1_unscaled,test_cardinality_error_1_unscaled,test_loss_ce_enc_unscaled,test_loss_bbox_enc_unscaled,test_loss_giou_enc_unscaled,test_cardinality_error_enc_unscaled,map@50:95,map@50,precision,recall,map,epoch,n_parameters,ema_test_class_error,ema_test_loss,ema_test_loss_ce,ema_test_loss_bbox,ema_test_loss_giou,ema_test_loss_ce_0,ema_test_loss_bbox_0,ema_test_loss_giou_0,ema_test_loss_ce_1,ema_test_loss_bbox_1,ema_test_loss_giou_1,ema_test_loss_ce_enc,ema_test_loss_bbox_enc,ema_test_loss_giou_enc,ema_test_loss_ce_unscaled,ema_test_class_error_unscaled,ema_test_loss_bbox_unscaled,ema_test_loss_giou_unscaled,ema_test_cardinality_error_unscaled,ema_test_loss_ce_0_unscaled,ema_test_loss_bbox_0_unscaled,ema_test_loss_giou_0_unscaled,ema_test_cardinality_error_0_unscaled,ema_test_loss_ce_1_unscaled,ema_test_loss_bbox_1_unscaled,ema_test_loss_giou_1_unscaled,ema_test_cardinality_error_1_unscaled,ema_test_loss_ce_enc_unscaled,ema_test_loss_bbox_enc_unscaled,ema_test_loss_giou_enc_unscaled,ema_test_cardinality_error_enc_unscaled,all_best_res,all_best_ep,regular_best_res,regular_best_ep,ema_best_res,ema_best_ep,21:59,0:25,0:26,22:24,0:22,0:24,22:50,23:13,0:23,23:42,0:27,0:29,00:07,00:34,01:01,01:24,0:21,01:54,0:28,02:23,02:46,03:17,0:30,03:41,04:06,04:37,05:10,0:31,0:33,05:49,0:37,0:39,06:21,07:14,0:49,0:52,13:17
0.0001,71.57779947916667,7.374762778188668,1.1326775901457842,0.17110603244281283,0.5388733984208575,1.13691919223935,0.17250816012714423,0.534629305788115,1.125200769480537,0.1720924692995408,0.5359491092317245,1.1153267434999055,0.1793400656943228,0.5601399517526814,1.1326775901457842,71.57779947916667,0.03422120655430298,0.26943669921042873,3896.6813725490197,1.13691919223935,0.034501632091169264,0.2673146528940575,3896.6838235294117,1.125200769480537,0.034418493655382416,0.2679745546158622,3896.595588235294,1.1153267434999055,0.03586801338721724,0.2800699758763407,3894.6323529411766,52.71092074850331,6.618132591247559,1.022248641304348,0.1126422762222912,0.5016503269257753,1.0427989130434783,0.11693012260872385,0.5076645457226298,1.024116847826087,0.11511940541474716,0.5072203019390935,1.0232676630434783,0.1205279334731724,0.5239455907241158,1.022248641304348,52.71092074850331,0.0225284553092459,0.25082516346288763,296.1141304347826,1.0427989130434783,0.02338602458653243,0.2538322728613149,296.1141304347826,1.024116847826087,0.023023881423084633,0.25361015096954675,296.1141304347826,1.0232676630434783,0.024105586759422138,0.2619727953620579,295.5923913043478,0.07393216453935786,0.12551979508875724,0.13938272925784728,0.5,0.12551979508875724,1,32250088.0,53.218451624331266,6.632496025251306,1.028023097826087,0.11284492359213207,0.49964057751323865,1.0439877717391304,0.11736148142296335,0.5083196966544442,1.028023097826087,0.11499651035536891,0.5068024060000544,1.0295516304347827,0.12061689729275911,0.5223280035931132,1.028023097826087,53.218451624331266,0.02256898476701716,0.24982028875661932,296.1141304347826,1.0439877717391304,0.02347229639797107,0.2541598483272221,296.10869565217394,1.028023097826087,0.02299930203867995,0.2534012030000272,296.1032608695652,1.0295516304347827,0.024123379393764164,0.2611640017965566,295.48369565217394,0.07557735512932234,0.0,0.07557735512932234,0.0,0.07393216453935786,0.0,56.146455,33.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,42.88816496905159,6.278880839254342,0.9416443927615297,0.13794974047763675,0.4693572053722307,0.9690230196597529,0.13894545652118384,0.47241578207296486,0.9425093741977916,0.1366334997263609,0.4698846591453926,0.9565194728327733,0.14691868117626974,0.49707958569713667,0.9416443927615297,42.88816496905159,0.02758994811744082,0.23467860268611535,3896.357843137255,0.9690230196597529,0.027789091399195148,0.23620789103648243,3893.3848039215686,0.9425093741977916,0.027326699857618295,0.2349423295726963,3892.705882352941,0.9565194728327733,0.029383736242558443,0.24853979284856834,3890.098039215686,40.04585630997367,6.2232187312582266,0.9239130434782609,0.11531241367692532,0.49747770635978034,0.9524456521739131,0.11438383712716725,0.49247217437495355,0.9325747282608695,0.11334605838941492,0.4967289942762126,0.9458220108695652,0.1212928298374881,0.5174492480962173,0.9239130434782609,40.04585630997367,0.02306248255721901,0.24873885317989017,296.07608695652175,0.9524456521739131,0.02287676736064579,0.24623608718747678,295.70652173913044,0.9325747282608695,0.022669211758867554,0.2483644971381063,295.32065217391306,0.9458220108695652,0.024258565886513046,0.25872462404810864,294.76630434782606,0.14964629345943817,0.23923682449344433,0.2681329198971661,0.5,0.23923682449344433,2,32250088.0,40.33495679108993,6.1896545783333154,0.9191576086956522,0.11330836719792822,0.49274175192998804,0.9577105978260869,0.11162574654040129,0.48694717365762463,0.9276494565217391,0.11214519583660623,0.4939459808494734,0.9436141304347826,0.11878557600404906,0.512023055035135,0.9191576086956522,40.33495679108993,0.022661673229025757,0.24637087596499402,296.08152173913044,0.9577105978260869,0.022325149372867916,0.24347358682881232,295.6902173913044,0.9276494565217391,0.022429039134927418,0.2469729904247367,295.39130434782606,0.9436141304347826,0.02375711508743141,0.2560115275175675,294.80434782608694,0.15106296596493862,1.0,0.15106296596493862,1.0,0.14964629345943817,1.0,,,,8.759946,46.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,30.100250618130552,5.718699707704432,0.8412685709841111,0.12764877022481433,0.43486667964972703,0.8809106723934996,0.1277858644139533,0.43003032195801827,0.8479522665341696,0.12653618568883224,0.43270500033509496,0.8807844145625245,0.13448904966022454,0.4537219644761553,0.8412685709841111,30.100250618130552,0.025529753964613464,0.21743333982486351,3895.8651960784314,0.8809106723934996,0.025557172831659224,0.21501516097900913,3889.6348039215686,0.8479522665341696,0.025307237225420335,0.21635250016754748,3886.473039215686,0.8807844145625245,0.026897809997785325,0.22686098223807766,3883.6960784313724,31.728943866232168,5.879173589789349,0.8432404891304348,0.10878688906845839,0.48436537644137506,0.8797554347826086,0.11105152608259865,0.48821512512538745,0.8508831521739131,0.10940590533225433,0.4876555657905081,0.8926630434782609,0.1163589526777682,0.5067920205385789,0.8432404891304348,31.728943866232168,0.021757377878479336,0.24218268822068753,296.0978260869565,0.8797554347826086,0.022210305232716644,0.24410756256269373,295.4402173913044,0.8508831521739131,0.021881181179829266,0.24382778289525406,295.5923913043478,0.8926630434782609,0.02327179034119067,0.25339601026928943,295.3369565217391,0.19732807291847312,0.3123165796761194,0.29772387437583614,0.66,0.3123165796761194,3,32250088.0,30.963501474131707,5.853690458380657,0.8386548913043478,0.10908683195062306,0.48583186061485956,0.8709239130434783,0.11036140892816626,0.48751104655473126,0.8457880434782609,0.10928741065056427,0.48756745328073914,0.890625,0.1146874848915183,0.5033651033173436,0.8386548913043478,30.963501474131707,0.02181736630914004,0.24291593030742978,296.0978260869565,0.8709239130434783,0.02207228176943634,0.24375552327736563,295.7880434782609,0.8457880434782609,0.02185748209771903,0.24378372664036957,295.7880434782609,0.890625,0.022937496962106747,0.2516825516586718,295.45108695652175,0.19732807291847312,2.0,0.1958478126568775,2.0,0.19732807291847312,2.0,,56.0,,,,30.0,4.860819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,27.303320866005095,5.638914790807986,0.8004242158403584,0.13170141171590954,0.44061198070937513,0.8499103200201895,0.13185396892767326,0.4427185081968121,0.8068841964590783,0.1312725728048998,0.44248684656386283,0.8549930277992698,0.13956552305642297,0.46649228708416807,0.8004242158403584,27.303320866005095,0.026340282284745983,0.22030599035468756,3893.517156862745,0.8499103200201895,0.0263707937088375,0.22135925409840604,3886.0906862745096,0.8068841964590783,0.026254514451412594,0.22124342328193142,3878.8333333333335,0.8549930277992698,0.02791310441406334,0.23324614354208403,3882.276960784314,25.80959817637568,5.746874892193338,0.8203125,0.10583872283282487,0.4812668017719103,0.864639945652174,0.10748728397099869,0.481148986712746,0.8215013586956522,0.10604597466147464,0.48368620224620984,0.8614130434782609,0.11261979652487714,0.5009141914222551,0.8203125,25.80959817637568,0.021167744760927948,0.24063340088595514,295.9891304347826,0.864639945652174,0.021497456802298195,0.240574493356373,295.2717391304348,0.8215013586956522,0.0212091950132795,0.24184310112310492,295.4728260869565,0.8614130434782609,0.02252395928877851,0.25045709571112756,294.5869565217391,0.25417170697375563,0.4041584458077896,0.45358717262814796,0.5,0.4041584458077896,4,32250088.0,25.384447346562926,5.652500525764797,0.7989130434782609,0.10548591775738675,0.4728532524212547,0.8478260869565217,0.10718877743119778,0.4772876656573752,0.8045176630434783,0.10607373876416165,0.4764263927936554,0.8505434782608695,0.11123434065476707,0.49415024855862494,0.7989130434782609,25.384447346562926,0.02109718355147735,0.23642662621062735,296.04347826086956,0.8478260869565217,0.0214377557048979,0.2386438328286876,295.5108695652174,0.8045176630434783,0.0212147477204385,0.2382131963968277,295.7554347826087,0.8505434782608695,0.02224686806616576,0.24707512427931247,294.91847826086956,0.25417170697375563,3.0,0.24436581757191736,3.0,0.25417170697375563,3.0,,,,,18.0,,,49.227156,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,20.60870922313017,5.289328631232767,0.7329263909190309,0.12308809394929923,0.4262417484732235,0.7840930936383266,0.12606468548377356,0.4347370196791256,0.7419488991008085,0.12299186517210568,0.42435837493223305,0.7836999741255068,0.13257359085129758,0.45660490206643645,0.7329263909190309,20.60870922313017,0.0246176188263823,0.21312087423661175,3889.0588235294117,0.7840930936383266,0.02521293708945022,0.2173685098395628,3878.2549019607845,0.7419488991008085,0.024598373027116646,0.21217918746611653,3874.404411764706,0.7836999741255068,0.02651471823599993,0.22830245103321822,3874.9362745098038,23.1929525292438,5.59132949165676,0.7839673913043478,0.1045005875437156,0.47669871216234955,0.8196331521739131,0.10838389267092166,0.4846014821011087,0.7853260869565217,0.1060936055753542,0.48434460163116455,0.82421875,0.11196030773546385,0.5016009444775789,0.7839673913043478,23.1929525292438,0.02090011739536472,0.23834935608117477,295.9347826086956,0.8196331521739131,0.02167677842890439,0.24230074105055435,295.3097826086956,0.7853260869565217,0.021218721106972382,0.24217230081558228,295.41847826086956,0.82421875,0.022392061336532883,0.25080047223878943,295.1576086956522,0.28293852774731865,0.4574006169430585,0.42252327804003276,0.66,0.4574006169430585,5,32250088.0,22.327758623206098,5.520248848458995,0.7736073369565217,0.10340396120496419,0.47009700795878534,0.809952445652174,0.10771149623653163,0.47786354759465094,0.7737771739130435,0.10546053362929303,0.4780381412609764,0.8184442934782609,0.11115415426700012,0.4907388220662656,0.7736073369565217,22.327758623206098,0.020680792386765064,0.23504850397939267,296.0326086956522,0.809952445652174,0.021542299052943355,0.23893177379732547,295.23369565217394,0.7737771739130435,0.021092106750153976,0.2390190706304882,295.7391304347826,0.8184442934782609,0.022230830893892307,0.2453694110331328,295.2554347826087,0.28293852774731865,4.0,0.2796588718504225,4.0,0.28293852774731865,4.0,,,,,,,,,,54.642433,39.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,17.613535637949028,5.025905281889672,0.7016112079807356,0.11601722065140219,0.3976522964589736,0.7512309200623456,0.11704838495044147,0.40308070942467333,0.7096392629193324,0.11688916429000742,0.401705347439822,0.7565712671653897,0.12645471139865763,0.42800484042541653,0.7016112079807356,17.613535637949028,0.023203444283674744,0.1988261482294868,3876.7916666666665,0.7512309200623456,0.023409676902434406,0.20154035471233667,3875.0661764705883,0.7096392629193324,0.023377832810522293,0.200852673719911,3864.424019607843,0.7565712671653897,0.02529094240390787,0.21400242021270827,3874.546568627451,18.27830007801885,5.423253432564113,0.7452445652173914,0.10542838631764702,0.4736336689928304,0.7761548913043478,0.1083151348259138,0.48212295641069824,0.7442255434782609,0.10740309662145117,0.4778799945893495,0.7927989130434783,0.11143224394839743,0.49861410130625183,0.7452445652173914,18.27830007801885,0.021085677344513977,0.2368168344964152,295.95108695652175,0.7761548913043478,0.021663027005675045,0.24106147820534912,294.16847826086956,0.7442255434782609,0.021480619219010292,0.23893999729467474,295.07065217391306,0.7927989130434783,0.022286448425248913,0.24930705065312592,295.2173913043478,0.30641697108703164,0.48831227670318544,0.5680023109537219,0.5,0.48831227670318544,6,32250088.0,19.162285348643426,5.411667803059453,0.7472826086956522,0.103664124465507,0.4686911922434102,0.7819293478260869,0.10722801639981892,0.47836521656616876,0.7467730978260869,0.10577829084966493,0.47507077844246576,0.7931385869565217,0.11088292754214743,0.4928636032602061,0.7472826086956522,19.162285348643426,0.020732824771624546,0.2343455961217051,295.9728260869565,0.7819293478260869,0.021445603312357613,0.23918260828308438,295.35869565217394,0.7467730978260869,0.021155658137539158,0.23753538922123288,295.5,0.7931385869565217,0.022176585646103256,0.24643180163010306,295.3478260869565,0.30641697108703164,5.0,0.3003271592824931,5.0,0.30641697108703164,5.0,,,,,,54.0,,,28.0,,,,49.354545,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,14.701138664694394,4.850416660308838,0.6743711607128966,0.10797268678160275,0.38997191073847753,0.7268246307092554,0.10936790061931984,0.39296123794480864,0.6817128634920308,0.10833376719086778,0.3915574831121108,0.7349618860319549,0.11762452037895427,0.4147566136191873,0.6743711607128966,14.701138664694394,0.021594537312493604,0.19498595536923877,3868.002450980392,0.7268246307092554,0.02187358020056112,0.19648061897240432,3861.6151960784314,0.6817128634920308,0.0216667535623499,0.1957787415560554,3860.0416666666665,0.7349618860319549,0.02352490422188067,0.20737830680959365,3877.171568627451,17.695779551630434,5.421912276226541,0.7413383152173914,0.10432082835746848,0.476296155349068,0.7868546195652174,0.10754683516595674,0.4822689631710882,0.7425271739130435,0.10606891240762628,0.4840425058551457,0.7809103260869565,0.1115309903803079,0.4982066076734792,0.7413383152173914,17.695779551630434,0.020864165792970554,0.238148077674534,295.9021739130435,0.7868546195652174,0.02150936700079752,0.2411344815855441,295.55434782608694,0.7425271739130435,0.021213782505820625,0.24202125292757284,295.625,0.7809103260869565,0.022306198132750782,0.2491033038367396,295.7771739130435,0.32235523446596664,0.5214427821728529,0.49728194202495063,0.66,0.5214427821728529,7,32250088.0,17.175474415654723,5.334274416384489,0.7365828804347826,0.10242166467334914,0.46436582052189374,0.7691915760869565,0.1054001628704693,0.47069856654042785,0.7374320652173914,0.10336502220319665,0.46715607461722003,0.7775135869565217,0.11110465941221817,0.48904238446899084,0.7365828804347826,17.175474415654723,0.020484332845586796,0.23218291026094687,295.6358695652174,0.7691915760869565,0.02108003271986609,0.23534928327021393,295.17934782608694,0.7374320652173914,0.02067300438395013,0.23357803730861001,295.16847826086956,0.7775135869565217,0.02222093186624672,0.24452119223449542,295.3423913043478,0.32235523446596664,6.0,0.31691136424831373,6.0,0.32235523446596664,6.0,,1.0,27.0,,,,,,,,,,,17.074436,,,,,,,,,,,,,,,,,,,,,,,
0.0001,14.055342879949832,4.854708610796461,0.6550883095638425,0.11311438526300822,0.3974544175115286,0.7162374713841606,0.11664645914353576,0.40351853037581725,0.6647392464619056,0.11385741596128426,0.39772582083356145,0.7203033350261987,0.12588420729426777,0.43013908757882957,0.6550883095638425,14.055342879949832,0.02262287707451512,0.1987272087557643,3884.4387254901962,0.7162374713841606,0.02332929169357407,0.20175926518790863,3877.203431372549,0.6647392464619056,0.022771483195909097,0.19886291041678072,3876.1936274509803,0.7203033350261987,0.02517684150998499,0.21506954378941479,3879.546568627451,17.922437253205672,5.325608419335407,0.7404891304347826,0.1026313834540222,0.4651064950486888,0.7685122282608695,0.10349750000497569,0.46733995365059894,0.7338654891304348,0.1036107076898865,0.46790929721749347,0.7725883152173914,0.11014716100433598,0.4899107969325522,0.7404891304347826,17.922437253205672,0.02052627686087204,0.2325532475243444,295.9728260869565,0.7685122282608695,0.020699499863321365,0.23366997682529947,295.4076086956522,0.7338654891304348,0.020722141610863415,0.23395464860874673,295.75,0.7725883152173914,0.022029432184670284,0.2449553984662761,295.5597826086956,0.32956735137041404,0.5371741780058833,0.5246923359370222,0.66,0.5371741780058833,8,32250088.0,16.466215548308,5.267291898312776,0.7284307065217391,0.10129337466281393,0.4621865619783816,0.7581521739130435,0.10284247800059941,0.46490780814834265,0.7262228260869565,0.10188850987216701,0.46543528204378876,0.7640964673913043,0.10792931590391242,0.4839063973530479,0.7284307065217391,16.466215548308,0.020258674964956615,0.2310932809891908,295.7826086956522,0.7581521739130435,0.020568495535332222,0.23245390407417132,295.2554347826087,0.7262228260869565,0.020377702079713345,0.23271764102189438,295.5652173913044,0.7640964673913043,0.021585863205077854,0.24195319867652396,295.30434782608694,0.32956735137041404,7.0,0.3201237339643901,7.0,0.32956735137041404,7.0,,34.0,,,,,,,,,0.0,,,,17.63535,,,,,,,,,,,,,,,,,,,,,,
0.0001,12.870722751991421,4.7436519183364565,0.6362920906029496,0.10902003783221338,0.3965826788369347,0.6929135895242878,0.11045954201151342,0.39860747783791783,0.646196651692484,0.10868557235773872,0.39589713192453574,0.7078790395867591,0.11833393836722654,0.4227841765272851,0.6362920906029496,12.870722751991421,0.021804007573747168,0.19829133941846736,3892.205882352941,0.6929135895242878,0.022091908435172895,0.19930373891895892,3886.1813725490197,0.646196651692484,0.021737114398502837,0.19794856596226787,3888.404411764706,0.7078790395867591,0.023666787618661627,0.21139208826364256,3883.776960784314,16.8383961553159,5.295616709667703,0.7253736413043478,0.1034824546912442,0.4648385851279549,0.7476222826086957,0.10667725198942682,0.4690770869669707,0.725203804347826,0.1029052906062292,0.4637084046135778,0.7683423913043478,0.11666333189477092,0.5017221582972485,0.7253736413043478,16.8383961553159,0.020696490760082783,0.23241929256397745,295.9782608695652,0.7476222826086957,0.021335450365491535,0.23453854348348535,295.4945652173913,0.725203804347826,0.02058105806455664,0.2318542023067889,295.8152173913044,0.7683423913043478,0.023332666362757267,0.25086107914862427,295.6521739130435,0.3339428348796304,0.5468474761582314,0.5196557468210192,0.66,0.5468474761582314,9,32250088.0,15.339208188264266,5.235495795374331,0.720108695652174,0.10184556116228519,0.4602887176949045,0.7520380434782609,0.10405183324347371,0.4639427195424619,0.7206182065217391,0.10233917022528856,0.4621537288893824,0.7593410326086957,0.10838120463101761,0.4803868545138318,0.720108695652174,15.339208188264266,0.02036911224865395,0.23014435884745224,296.0217391304348,0.7520380434782609,0.020810366729679314,0.23197135977123096,295.6032608695652,0.7206182065217391,0.020467834142239197,0.2310768644446912,295.8152173913044,0.7593410326086957,0.02167624101528655,0.2401934272569159,295.6576086956522,0.3445076324478911,8.0,0.3445076324478911,8.0,0.3339428348796304,8.0,,,,,,,,,4.0,,,,,,,22.315908,39.0,,,,,,,,,,,,,,,,,,,,
0.0001,10.16851686963848,4.6008114721260815,0.6074754695097605,0.10793875639929491,0.3866240949023004,0.6688848593655754,0.10843848948385201,0.39058927169033125,0.6157013697951448,0.10899160349485922,0.38897156072597877,0.6819117595167721,0.11825496528078527,0.4170292510705836,0.6074754695097605,10.16851686963848,0.021587751349251644,0.1933120474511502,3894.2696078431372,0.6688848593655754,0.02168769792964061,0.19529463584516563,3885.7303921568628,0.6157013697951448,0.021798320753755523,0.19448578036298939,3891.4093137254904,0.6819117595167721,0.023650993118245228,0.2085146255352918,3889.348039215686,15.958190420399541,5.340390951737113,0.7231657608695652,0.10852733999490738,0.4794194750163866,0.7561141304347826,0.11015565984922907,0.4806859765363776,0.7274116847826086,0.10868399233921715,0.4803676644097204,0.7559442934782609,0.11525460008693778,0.4946604487688645,0.7231657608695652,15.958190420399541,0.021705467861307705,0.2397097375081933,295.9728260869565,0.7561141304347826,0.0220311320103381,0.2403429882681888,295.42934782608694,0.7274116847826086,0.02173679852453263,0.2401838322048602,295.82608695652175,0.7559442934782609,0.023050920065978298,0.24733022438443225,295.7391304347826,0.35256730118679175,0.5716997936709248,0.5463004233524765,0.66,0.5716997936709248,10,32250088.0,15.181837330693783,5.210351840309475,0.71875,0.10140678416127744,0.45843723805054376,0.7415081521739131,0.10461384219967801,0.46396502463713934,0.7160326086956522,0.10212321125942728,0.4633268986059272,0.7528872282608695,0.10827938791202463,0.4790214261283045,0.71875,15.181837330693783,0.02028135679986166,0.22921861902527188,296.01630434782606,0.7415081521739131,0.02092276841564023,0.23198251231856967,295.6521739130435,0.7160326086956522,0.020424642276180828,0.2316634493029636,295.8967391304348,0.7528872282608695,0.02165587748522344,0.23951071306415225,295.79347826086956,0.3649280214617504,9.0,0.3649280214617504,9.0,0.35256730118679175,9.0,,,,,,,,,,,,49.0,,,,,,11.501739,23.0,,,,,,,,,,,,,,,,,,
