item,coordinates
play_button,"(x:960,y:843)43"
top_left,"(x:700,y:105)05"
top_right,"(x:1222,y:98)98"
bottom_left,"(x:695,y:812)12"
bottom_right,"(x:1226,y:809)9"
1,"(x:859,y:1051)1"
2,"(x:903,y:1051)1"
3,"(x:946,y:1052)2"
4,"(x:985,y:1053)3"
5,"(x:1029,y:1054)"
6,"(x:1070,y:1053)"
7,"(x:1114,y:1053)"
8,"(x:1154,y:1052)"
9,"(x:1197,y:1053)"
10,"(x:1235,y:1054)"
cards 1,"(x:849,y:957)57"
cards 2,"(x:960,y:963)63"
cards 3,"(x:1087,y:963)3"
cards 4,"(x:1195,y:965)5"
cards reserve,"(x:712,y:1030)0"
ok button,"(x:1020,y:942)2"
